2017-03-02 17:01:00 INFO  AndroidUtil:116 - Adding the following iOS simulator to device matrix --1C66C35B-021D-480C-8810-9D584DAB043C
2017-03-02 17:01:00 INFO  DeviceMatrix:35 - [DeviceDetails{deviceName='Moto G (4)', udid='ZY223D7XPB', status='null', platform=ANDROID, platformVersion='7.0', runsOn=DEVICE}, DeviceDetails{deviceName='iPhone 5', udid='682DCDE8-E994-4098-98C5-A411A3D20ECA', status='null', platform=IOS, platformVersion='9.3', runsOn=SIMULATOR}, DeviceDetails{deviceName='iPhone 5s', udid='7B906BD5-6331-48ED-B593-5D27F46FCF90', status='null', platform=IOS, platformVersion='9.3', runsOn=SIMULATOR}, DeviceDetails{deviceName='iPhone 6', udid='1BBD1612-8E25-4BC8-9A9F-DD711417FEA6', status='null', platform=IOS, platformVersion='9.3', runsOn=SIMULATOR}, DeviceDetails{deviceName='iPhone 6s', udid='1C66C35B-021D-480C-8810-9D584DAB043C', status='null', platform=IOS, platformVersion='9.3', runsOn=SIMULATOR}]
2017-03-02 17:01:07 INFO  OptimusController:114 - Starting Scenario -- makeABookingForACabWithLuggage1
2017-03-02 17:01:37 INFO  OptimusController:133 - makeABookingForACabWithLuggage1--driver instance created for ZY223D7XPB
2017-03-02 17:01:37 INFO  OptimusController:150 - makeABookingForACabWithLuggage1---BOT registered successfully for -- ZY223D7XPB
2017-03-02 17:02:24 INFO  OptimusController:101 - makeABookingForACabWithLuggage1---The following BOT de-registered successfully -- ZY223D7XPB
2017-03-02 17:02:29 INFO  OptimusController:114 - Starting Scenario -- makeABookingForACabWithLuggage1
2017-03-02 17:02:59 INFO  OptimusController:133 - makeABookingForACabWithLuggage1--driver instance created for ZY223D7XPB
2017-03-02 17:02:59 INFO  OptimusController:150 - makeABookingForACabWithLuggage1---BOT registered successfully for -- ZY223D7XPB
2017-03-02 17:03:41 INFO  OptimusController:101 - makeABookingForACabWithLuggage1---The following BOT de-registered successfully -- ZY223D7XPB
2017-03-02 17:03:45 INFO  OptimusController:114 - Starting Scenario -- makeABookingForACabWithLuggage1
2017-03-02 17:04:08 INFO  OptimusController:133 - makeABookingForACabWithLuggage1--driver instance created for ZY223D7XPB
2017-03-02 17:04:08 INFO  OptimusController:150 - makeABookingForACabWithLuggage1---BOT registered successfully for -- ZY223D7XPB
2017-03-02 17:05:46 INFO  OptimusController:114 - Starting Scenario -- makeABookingForACabWithLuggage1
2017-03-02 17:05:50 INFO  OptimusController:114 - Starting Scenario -- makeABookingForACabWithLuggage1
2017-03-02 17:05:55 INFO  OptimusController:114 - Starting Scenario -- makeABookingForACabWithLuggage1
2017-03-02 17:06:00 INFO  OptimusController:114 - Starting Scenario -- bookingACabWithReturnJourney1
2017-03-02 17:06:05 INFO  OptimusController:114 - Starting Scenario -- bookingACabWithReturnJourney1
2017-03-02 17:06:10 INFO  OptimusController:114 - Starting Scenario -- bookingACabWithReturnJourney1
2017-03-02 17:06:15 INFO  OptimusController:114 - Starting Scenario -- bookingACabAfterLoggingIn1
2017-03-02 17:06:20 INFO  OptimusController:114 - Starting Scenario -- bookingACabAfterLoggingIn1
2017-03-02 17:06:24 INFO  OptimusController:114 - Starting Scenario -- bookingACabAfterLoggingIn1
